Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	LossPi	LossV	KL	Jc	JcNew	Time
45	174.0	0.0	0.71900827	-2.0445406	8.413034	19.825415	-16.655062	2.38719	0.99043	4.4	0.0	16.38843	-1.8626451e-09	43.56459	0.0	0.14500001	0.14500001	12980.850230693817
46	95.0	0.0	0.62913907	-2.6163483	22.797298	21.932737	-262.97028	2.3198676	1.1200768	5.1	0.0	23.721855	2.9802322e-08	250.45618	0.0	0.0882	0.0882	13266.639563560486
47	122.0	0.0	0.69714284	-3.5273616	23.888716	23.482365	-296.75552	2.6057143	1.0416862	5.0	0.0	22.857143	-7.450581e-09	88.796814	0.0	0.114	0.114	13552.52226114273
48	175.0	0.0	0.73221755	-1.8996166	7.7640266	22.326654	-15.5223465	2.4506273	1.033897	5.2	0.0	16.65272	-1.3969839e-08	88.86162	0.0	0.14655	0.14655	13824.282341241837
49	160.0	0.0	0.6751055	-1.184924	7.872561	22.85107	-15.099786	2.2991564	1.1126807	4.9	0.0	16.772152	-1.9092113e-08	39.904167	0.0	0.136525	0.136525	14097.823220729828
50	107.0	0.0	0.6948052	-1.3202839	8.1819515	20.269672	-13.348927	2.414286	1.1148018	4.6	0.0	16.75974	4.0978193e-08	250.16447	0.0	0.093825005	0.093825005	14382.198751211166
51	158.0	0.0	0.7348837	-2.2968113	8.008424	18.627975	-16.53381	2.3186047	0.9758135	4.5	0.0	15.702326	-1.4901161e-08	69.678696	0.0	0.12525001	0.12525001	14658.019204616547
52	91.0	0.0	0.71653545	-4.4901843	25.83193	18.519085	-278.8842	2.3007874	1.038131	4.4	0.0	24.291338	-9.546056e-09	76.34235	0.0	0.073425	0.073425	14942.641976833344
53	127.0	0.0	0.7094972	-1.0433543	8.517931	22.70106	-13.877564	2.3927376	1.0269022	5.1	0.0	17.10056	7.450581e-09	89.63518	0.0	0.107575	0.107575	15222.825677871704
54	115.0	0.0	0.7232704	-3.8688028	23.98005	21.262812	-286.52823	2.4106917	1.0328317	5.5	0.0	22.660378	1.4901161e-08	76.29611	0.0	0.09695	0.09695	15511.49158000946
55	156.0	0.0	0.7155963	-1.4203212	8.0300255	21.248558	-14.049996	2.4155962	1.1466885	5.1	0.0	16.931192	-1.4901161e-08	94.46045	0.0	0.132025	0.132025	15785.047600507736
56	112.0	0.0	0.6256983	-0.66463655	8.33381	20.070395	-15.995252	2.2586591	1.0652828	5.1	0.0	16.743017	7.450581e-09	105.45332	0.0	0.1012	0.1012	16064.629798173904
57	161.0	0.0	0.6939655	-1.0157028	8.040029	23.562252	-14.312393	2.4616377	1.1124077	5.1	0.0	17.137932	-8.381903e-09	89.42615	0.0	0.142775	0.142775	16340.867978096008
58	182.0	0.0	0.74897116	-1.522918	8.469406	23.069101	-18.680256	2.4703705	0.9665319	5.7	0.0	16.390947	-2.2351742e-08	43.193558	0.0	0.15024999	0.15024999	16611.62074303627
59	120.0	0.0	0.6629834	-3.453012	22.566795	22.446474	-284.83188	2.3806627	1.1633974	5.1	0.0	21.933702	1.4901161e-08	227.85538	0.0	0.10802501	0.10802501	16892.61669945717
60	132.0	0.0	0.72131145	-2.1376803	7.8244123	18.255627	-15.345451	2.3967211	1.0311488	4.6	0.0	16.579235	-7.450581e-09	72.1691	0.0	0.110275	0.110275	17175.074291229248
61	90.0	0.0	0.72	-5.9638495	35.747814	18.304316	-290.90482	2.3552	1.064891	5.1	0.0	31.896	-5.5879354e-09	66.51929	0.0	0.07360001	0.07360001	17459.419894218445
