Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
28	60.0	0.0	0.3030303	9.063808	10.236949	28.222204	-10.261216	2.611125	1.1279157	5.585071	0.9083499	20.141415	8.143201	3.200641	13.201945	-7.188861	116000	-4.8428774e-08	47.737797	0.73565674	-0.039302036	-4.380312	-0.05369985	0.58625615	0.01397763	0.1295	19.0	13395.907462596893
29	86.0	0.0	0.40186915	8.727842	11.737398	28.920319	-11.810608	2.600103	1.2021168	5.2243752	0.6677115	18.485981	9.25465	2.0130146	12.792822	-1.092486	120000	1.3969839e-08	50.477287	0.80174196	-0.064621985	-1.3437328	-0.031395286	0.48799354	0.013039004	0.107250005	23.0	13851.100796699524
30	67.0	0.0	0.34895834	8.442819	10.026687	29.567598	-11.37174	2.7563922	1.1747832	5.8334956	0.6675599	20.8125	9.584983	2.4703066	13.649743	-6.1151695	124000	4.4703484e-08	39.93911	0.7598464	-0.028721914	-0.5925827	-0.015465081	0.61123604	0.015989922	0.14475	7.0	14339.789189100266
31	46.0	0.0	0.26744187	8.667772	9.681568	30.095547	-11.626723	2.7300725	0.9933653	5.65092	0.91451156	23.110466	9.74007	2.0695145	12.948182	-2.685246	128000	7.8231096e-08	44.82392	0.6390876	-0.02058997	-4.5820866	-0.050708324	0.6951516	0.0154819265	0.23775	10.0	14854.527076482773
32	61.0	0.0	0.35260117	6.036336	9.8293915	25.889814	-13.389481	3.0634723	1.0572878	5.6503744	0.91212916	23.02312	9.236699	1.2464755	11.197418	1.6742028	132000	-1.1175871e-08	49.681038	0.79082847	-0.054451536	-6.735918	-0.0936977	0.75546134	0.016994588	0.19825	13.0	15383.612880706787
33	59.0	0.0	0.32960895	7.7366147	9.620173	30.093935	-11.336705	2.8618996	1.1149603	7.0326395	0.5609294	22.139666	7.586284	2.4616	11.200747	1.4098402	136000	5.5879354e-08	38.837925	0.7329204	-0.08064196	-2.0018597	-0.031477064	0.6878964	0.018336136	0.23324999	5.0	15894.829861164093
34	61.0	0.0	0.32446808	8.119188	9.511585	27.6542	-10.454716	2.730265	1.0855988	5.168476	0.9263301	21.175531	8.50134	2.1913683	12.06413	2.6068642	140000	-3.7252903e-08	40.845016	0.70244753	-0.028094396	-1.5154114	-0.03364566	0.59278715	0.013997771	0.14975	5.0	16379.292273521423
35	80.0	0.0	0.3773585	7.319571	10.235906	30.533863	-10.651841	2.652342	1.2106116	5.4846907	0.6670375	18.867924	8.770778	1.5654054	11.710207	3.0710578	144000	-2.9802322e-08	45.52469	0.8099617	-0.019305289	-4.2822285	-0.08626115	0.4963264	0.012126479	0.1385	9.0	16833.483122348785
36	94.0	0.0	0.42152467	8.402039	11.393783	28.983305	-11.477917	2.6666682	1.2553581	5.5199046	0.6666269	17.887892	8.716536	2.3048139	12.608229	-0.2775166	148000	-2.2351742e-08	52.670456	0.83697796	-0.101640135	-3.570778	-0.0385333	0.3666279	0.01636384	0.1	20.0	17261.079150915146
37	62.0	0.0	0.3115578	10.149986	10.673847	32.03058	-12.283314	2.519063	1.1452693	5.19347	0.9094439	19.9799	9.324066	2.7349432	13.178426	-3.9509852	152000	2.2351742e-08	45.106464	0.71423864	-0.04557643	-2.3490715	-0.017693222	0.4968478	0.01441846	0.1325	5.0	17709.193576812744
38	57.0	0.0	0.3015873	9.424157	9.840252	31.123798	-10.801227	2.6602328	1.0876658	5.4467173	0.90897113	21.089947	10.13555	1.8407525	13.1650305	-3.1450117	156000	7.450581e-09	42.64673	0.63016456	-0.041563444	-1.8244381	-0.028857827	0.5853746	0.012021077	0.22150001	6.0	18203.035547733307
39	51.0	0.0	0.29310346	8.10445	9.851321	30.074913	-10.936911	2.7819498	1.0495776	6.1773415	0.9015308	22.718391	9.728446	1.3188239	12.134593	-0.36657676	160000	7.450581e-09	44.110016	0.63891673	-0.017176442	-4.6845036	-0.05245486	0.662361	0.013862524	0.247	9.0	18710.2098634243
40	39.0	0.0	0.23636363	8.35537	9.364975	28.933329	-11.783482	2.7485921	1.0062444	5.717889	0.9447814	24.175758	8.74787	2.0172966	11.457968	1.1707228	164000	-2.9802322e-08	36.9623	0.5390598	-0.054705463	-2.483904	-0.01816684	0.73130864	0.01596113	0.18025	15.0	19240.596367836
41	58.0	0.0	0.3258427	8.245648	9.6226845	27.086887	-12.36694	2.9272916	1.1347536	6.522836	0.91205513	22.337078	8.910358	1.8970975	12.167275	3.0964189	168000	-1.4901161e-08	36.15451	0.65438557	-0.0481072	-0.934103	-0.030317724	0.67462146	0.014939302	0.1945	5.0	19750.448033094406
42	47.0	0.0	0.26256984	10.129426	9.85963	28.809967	-12.565175	2.5971043	1.0942422	5.3429465	0.66690475	22.256983	8.827188	2.373321	12.710229	3.4008965	172000	8.940697e-08	40.1285	0.62460065	-0.024519965	-1.9905605	-0.05733207	0.6038218	0.012516358	0.18724999	7.0	20235.589990854263
43	62.0	0.0	0.31632653	9.83243	10.309539	28.252764	-10.748261	2.5910623	1.1497524	5.7819185	0.66765964	20.311224	9.870051	1.6551776	12.945467	3.0062418	176000	0.0	43.910263	0.67070925	-0.023693152	-1.1494026	-0.023035854	0.5094539	0.012607139	0.14225	11.0	20696.621985197067
44	83.0	0.0	0.3721973	8.858541	10.898497	29.102411	-11.803324	2.4928706	1.1442404	5.1844473	0.90840375	17.860987	9.712912	1.7783237	13.080364	1.5437698	180000	7.450581e-09	48.681404	0.71634614	-0.04666637	-3.2037868	-0.017987758	0.4300421	0.014334866	0.12925	34.0	21125.97882270813
45	56.0	0.0	0.29319373	11.75332	10.046663	30.661203	-10.470922	2.5202732	1.1035637	5.663828	0.66760164	20.83246	9.662928	2.0114326	13.34362	-3.7836893	184000	-1.4901161e-08	43.008446	0.66215545	-0.032998577	-2.2149467	-0.01149562	0.46114594	0.012409574	0.1855	11.0	21584.412178516388
46	40.0	0.0	0.23121387	11.198314	9.357128	28.751019	-11.385615	2.5137262	1.0044569	6.112677	0.9095638	22.982658	10.758056	1.1793915	13.645438	-1.2724267	188000	1.4901161e-08	35.35	0.48165065	-0.02964735	-2.4869776	-0.019997746	0.5229269	0.0141091235	0.20324999	15.0	22070.43628191948
47	51.0	0.0	0.29142857	8.786634	9.062392	27.17449	-11.911313	2.7395139	1.0505612	6.030049	0.66756475	22.668571	10.361368	1.7550796	13.618679	1.0311313	192000	9.685755e-08	36.42589	0.5706359	-0.035944678	-2.4681978	-0.04232253	0.53154016	0.012197605	0.151	19.0	22577.990285634995
48	59.0	0.0	0.32240438	10.785467	10.532557	31.60946	-10.05201	2.6240437	1.017829	5.27535	0.90953684	21.639345	9.129041	2.3503528	13.296287	0.5377351	196000	7.0780516e-08	44.01676	0.52258134	-0.026341263	-1.90629	-0.026957035	0.4582557	0.0132067	0.15425	8.0	23069.369176387787
49	51.0	0.0	0.27868852	10.955997	10.004703	30.756708	-10.624966	2.5705574	1.1186894	6.2603807	0.90627795	21.726776	10.204809	2.1710815	14.14973	-0.0500257	200000	-2.9802322e-08	39.72059	0.5978103	-0.019054443	-0.74598885	-0.007116765	0.40891778	0.012090802	0.14625	11.0	23539.02099442482
50	75.0	0.0	0.36057693	11.183786	10.42058	30.480612	-10.690017	2.5838735	1.1019642	5.169151	0.66676486	19.173077	10.489101	1.5624211	13.866281	0.3530016	204000	2.9802322e-08	47.864838	0.6808623	-0.06460914	-1.2330265	-0.020177811	0.33383796	0.013018219	0.15175	31.0	23979.484245300293
51	47.0	0.0	0.25405404	11.992195	9.718992	31.426353	-11.711115	2.5295908	1.0651795	4.943538	0.6665828	21.508108	10.292263	1.3132985	13.208888	-0.86412305	208000	-1.4901161e-08	39.286606	0.5663283	-0.03678157	-0.6573076	-0.0072695017	0.3702054	0.013770384	0.16874999	7.0	24436.739778518677
52	57.0	0.0	0.30810812	9.370459	9.305213	28.468124	-11.875799	2.5906494	0.9830175	5.2203183	0.9085049	21.464865	10.733475	1.53033	14.359356	0.9052348	212000	7.450581e-09	36.559105	0.5043528	-0.0483243	-2.3154392	-0.011380151	0.4167091	0.012355582	0.153	22.0	24922.474472999573
53	43.0	0.0	0.23369566	12.112655	9.585916	28.533836	-8.069504	2.3511748	1.0205076	5.2479177	0.90948737	21.52174	9.801567	2.1377497	14.909827	-1.4609376	216000	7.4505806e-08	35.702385	0.5025034	-0.03506818	-2.391446	-0.04141125	0.36659437	0.014409171	0.13225	7.0	25397.69380378723
