Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
57	35.0	0.0	0.18421052	18.112259	9.14125	29.47697	-7.6100726	2.1543949	0.9937795	5.0322776	0.91390526	20.93158	13.870971	3.293221	20.28524	-9.852356	232000	-9.313226e-09	30.006002	-0.00648995	-0.7966709	0.34001362	0.0055026338	0.03475	79.0	14588.571254253387
58	31.0	0.0	0.16666667	18.78752	8.592746	28.696999	-4.695921	2.1285968	0.90021646	4.506385	0.6677172	21.413979	13.474034	3.5235772	20.103523	-1.3220086	236000	1.8626451e-09	29.860443	-0.0056007574	-1.0003004	0.335304	0.0024929491	0.028	79.0	14827.211931228638
59	38.0	0.0	0.2054054	17.429443	8.996382	29.829082	-3.065375	2.3282542	0.9728944	4.578262	0.92358077	21.421621	14.105054	3.3966355	20.54702	-4.3948956	240000	-3.7252903e-09	31.29725	-0.006014975	-1.5499601	0.3481912	0.004660011	0.034	79.0	15069.449303388596
60	28.0	0.0	0.15469614	18.884068	8.094893	28.549782	-3.2532582	2.1603131	0.95152944	5.433506	0.9252616	21.883978	13.27177	3.2451043	19.812658	-5.7344513	244000	-5.5879354e-09	26.519135	-0.0072342185	-1.3822193	0.3368858	0.010489697	0.04	79.0	15310.80364394188
61	38.0	0.0	0.2	18.05341	9.164088	29.997332	-3.829942	2.1453388	0.92499334	5.166725	0.6676105	20.989473	14.0635605	3.297336	20.354332	0.30629432	248000	-3.7252903e-09	31.291725	-0.0048837475	-0.86967564	0.31791165	0.005929494	0.022	79.0	15549.957673072815
62	40.0	0.0	0.20942408	17.514574	9.391602	28.54528	-7.5096807	2.1945117	0.9170959	5.0078382	0.9272297	20.874346	13.289172	3.2587507	19.812328	-2.8755896	252000	0.0	28.450836	-0.0056115333	-1.0488691	0.33279905	0.004465553	0.034500003	79.0	15791.341028928757
63	32.0	0.0	0.17297298	18.834677	9.0415745	31.694483	-6.465491	2.0917222	0.9148194	5.3785753	0.9173773	21.502703	13.272647	3.9299965	20.322922	1.7853175	256000	1.5832484e-08	31.92923	-0.004233176	-2.4603472	0.34086215	0.0039414093	0.0225	79.0	16033.466418027878
64	41.0	0.0	0.21465969	17.722708	9.240593	28.78511	-4.7354994	2.1955059	0.9505752	4.6705866	0.6674491	20.86911	14.405287	3.4207716	20.859966	2.770029	260000	3.7252903e-09	29.444996	-0.006316332	-2.97046	0.3285068	0.008767949	0.039	79.0	16274.141517162323
65	40.0	0.0	0.21276596	17.743084	9.242781	28.931732	-7.0954294	2.3035865	0.9784635	5.2554784	0.92444825	21.218084	13.10618	3.6066093	19.919792	-1.904515	264000	-8.1490725e-09	31.269417	-0.0056447396	-0.9004173	0.33155003	0.0030017784	0.0375	79.0	16515.920511484146
66	41.0	0.0	0.21354167	18.249582	9.1594515	31.797773	-4.723743	2.1881266	0.9412821	4.619271	0.5609653	20.75	13.325355	3.4686508	19.792511	4.182768	268000	3.7252903e-09	26.799486	-0.00465117	-1.7634897	0.30650055	0.005548163	0.02975	79.0	16755.568875074387
