Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
39	0.011560693	0.021806758	0.18544184	12.266352	12.267323	-12.313414	-19.839148	0.7031045	0.6962246	19.806265	4.167342	28.683382	-1.5816212	1.7856733	0.72272074	5.346074	0.66774166	23.040462	25000	156000.0	6712.212757825851
40	0.017142856	0.019734656	0.18060967	12.428856	12.429602	-12.469398	-20.337994	0.6552179	0.64509207	19.781775	4.268936	27.629208	-2.0264053	1.8495232	0.72958547	5.0491457	0.90878946	22.92	25000	160000.0	6885.6194632053375
41	0.017142856	0.017859032	0.17169052	12.565422	12.565853	-12.59649	-20.81941	0.64609075	0.63439184	20.127653	4.2905626	29.471697	-3.2013948	1.8129826	0.6662872	4.941716	0.9115607	22.982857	25000	164000.0	7060.147651433945
42	0.017142856	0.016161697	0.16652639	12.713948	12.713247	-12.734509	-21.314554	0.60309315	0.58980703	20.532564	4.3558	30.291573	-2.9365718	1.7227703	0.7097843	6.2421684	0.91077876	22.731428	25000	168000.0	7234.013002872467
43	0.022727273	0.014625984	0.15888087	12.845754	12.846711	-12.85701	-21.798214	0.56866425	0.5541411	20.314503	4.5585594	31.448822	-3.8830028	1.8595977	0.7482065	5.6856837	0.9122516	22.857954	25000	172000.0	7409.70178771019
44	0.0058139535	0.013235419	0.15538369	12.942451	12.942608	-12.948839	-22.298399	0.54744726	0.53497106	20.759747	3.726616	27.900347	-0.7299504	1.7788903	0.5767021	3.955699	0.9123426	23.16279	25000	176000.0	7581.95254611969
45	0.0	0.011977233	0.14951828	13.059324	13.059495	-13.059984	-22.787409	0.5107526	0.5011647	20.536026	3.1367254	30.35534	11.811159	1.7636496	0.5462452	3.8444114	0.9105894	22.925287	25000	180000.0	7755.365376710892
46	0.0056497175	0.010838726	0.14261022	13.173594	13.173247	-13.169577	-23.270485	0.47444087	0.4634181	20.534092	3.529403	28.162212	-2.676634	1.7812165	0.6161959	4.9287505	0.92284536	22.689266	25000	184000.0	7929.664095163345
47	0.011363637	0.009808189	0.14242184	13.272372	13.272123	-13.262733	-23.783464	0.45466486	0.44518805	20.544899	3.957872	28.79237	-2.1463537	1.8198994	0.65495014	4.956019	0.92212445	22.551136	25000	188000.0	8101.757219076157
48	0.0	0.0088752825	0.14159027	13.369152	13.36827	-13.355217	-24.293636	0.434823	0.42600903	21.066101	3.1957395	29.486885	12.473146	1.8454417	0.60251427	3.807526	0.9189362	22.818182	25000	192000.0	8275.413331508636
49	0.0056497175	0.008030484	0.14201859	13.4667225	13.466523	-13.4500065	-24.80974	0.40834093	0.40048704	20.977024	3.6949966	29.081192	-5.2383785	1.8145458	0.54700667	3.5612402	0.91150194	22.655367	25000	196000.0	8447.29323220253
50	0.0	0.007266736	0.13666147	13.568597	13.569412	-13.550582	-25.297316	0.37846148	0.37328857	21.086378	3.2743373	29.065325	10.101619	1.8333181	0.5924321	3.6156456	0.6549671	22.666666	25000	200000.0	8620.384908676147
51	0.0	0.0065759574	0.12902886	13.649967	13.650499	-13.629115	-25.772139	0.36632964	0.3615127	20.797518	3.1766787	28.892574	11.839538	1.8551983	0.6391098	3.915808	0.9003606	22.647728	25000	204000.0	8793.469161510468
52	0.0	0.005950632	0.12748066	13.742885	13.742076	-13.718023	-26.276672	0.34610224	0.34022814	21.450617	3.3543527	29.497408	10.255328	1.862214	0.56825745	3.7739663	0.9222218	22.856321	25000	208000.0	8966.539166688919
53	0.011111111	0.0053846547	0.12169436	13.822318	13.82176	-13.79432	-26.758726	0.33219752	0.32670376	20.7305	3.9158719	27.547483	-2.7531722	1.8368598	0.58288914	4.382078	0.910884	22.372223	25000	212000.0	9141.665042161942
54	0.0	0.0048728413	0.11828894	13.892754	13.891865	-13.862218	-27.252296	0.32581085	0.32229492	21.149242	3.338656	30.393639	12.999845	1.7786031	0.5646264	3.492027	0.9063742	22.58192	25000	216000.0	9314.438801527023
55	0.0056497175	0.0044094585	0.11548756	13.978457	13.9783745	-13.948024	-27.748613	0.30120382	0.29603982	20.824968	3.505649	27.722673	0.71332365	1.8234898	0.60836184	3.7738338	0.92228234	22.485876	25000	220000.0	9487.554350614548
56	0.0	0.003989881	0.11533582	14.061373	14.060497	-14.029768	-28.259102	0.29397804	0.2880619	21.210382	3.1131911	27.948317	14.397534	1.8330746	0.57394177	3.859767	0.9084697	22.61017	25000	224000.0	9660.945352554321
57	0.0056179776	0.003610422	0.113021575	14.137693	14.138471	-14.106002	-28.757444	0.28608558	0.2816091	20.65781	3.581982	29.768475	-0.78063	1.8793359	0.5595105	3.7665505	0.6786026	22.595505	25000	228000.0	9834.730021476746
