Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
27	2.281222	0.0	57.0	0.0	0.28787878	15.340914	9.83486	29.57367	-7.4255395	2.378847	0.9682428	5.1501775	0.9127416	19.848484	12.954184	4.7735844	21.675756	-3.1247134	112000	1.3038516e-08	31.01182	0.3468115	-0.006689705	-4.8743324	-0.06625542	0.5225037	0.004090936	0.02925	79.0	5494.852805137634
28	2.322913	0.0	48.0	0.0	0.24870466	16.183783	9.172927	32.37262	-4.8671794	2.2708266	1.077494	5.7071743	0.8905174	20.471502	12.92437	4.353249	21.132189	-5.960285	116000	-1.8626451e-09	24.057308	0.38188925	-0.007628914	-3.8112798	-0.060419843	0.5059542	0.0028524077	0.04	79.0	5679.707558631897
29	2.364441	0.0	49.0	0.0	0.2525773	16.455832	9.7403145	29.981104	-6.358524	2.2600706	1.0226125	6.0028763	0.9087489	20.520618	12.638742	4.5254264	25.682793	-5.079484	120000	-7.450581e-09	27.190264	0.3197292	-0.005935611	-3.293686	-0.03495991	0.4879186	0.012009998	0.046000004	18.0	5864.2233238220215
30	2.4059303	0.0	54.0	0.0	0.2755102	16.397314	9.470809	29.307825	-5.0585494	2.3237147	1.0779152	5.319981	0.90904605	20.142857	12.664942	5.105575	24.116112	-6.8887606	124000	1.8626451e-09	21.88929	0.33151972	-0.0015949518	-4.118337	-0.06977841	0.48772448	0.012249216	0.114250004	3.0	6047.900011301041
31	2.4473839	0.0	53.0	0.0	0.2746114	16.322899	9.980839	29.100275	-4.5035663	2.3133438	0.9697636	4.596124	0.9084877	20.595856	12.76419	5.155152	21.95125	-7.044433	128000	2.142042e-08	28.719099	0.34904644	-0.0067408383	-5.918272	-0.0862736	0.48513764	0.012409719	0.09025	45.0	6235.376033306122
32	2.4885936	0.0	37.0	0.0	0.19680852	18.118902	8.912661	29.5447	-3.3734148	2.161059	0.94220376	4.9613614	0.66772854	21.095745	13.459584	4.605905	20.85083	-6.205186	132000	3.7252903e-09	19.282055	0.28312975	-0.0059864563	-3.1437354	-0.04776874	0.5163568	0.0034070103	0.08825	79.0	6421.803699016571
33	2.5297081	0.0	39.0	0.0	0.20855615	18.110107	9.085641	31.136871	-3.9222553	2.2338848	0.9517047	5.103398	0.91291845	21.128342	14.023462	4.472053	21.60323	-5.780043	136000	-7.450581e-09	23.423996	0.2838211	-0.008710187	-3.4132886	-0.04812968	0.4817323	0.0059538893	0.05475	79.0	6611.9971425533295
34	2.5708792	0.0	51.0	0.0	0.26288658	16.886621	9.604061	28.89935	-3.4717255	2.3191516	1.0548196	5.293137	0.66767347	20.41237	12.750056	5.5182247	21.723223	-5.0975184	140000	-1.3969839e-08	24.362122	0.3080887	-0.006315379	-4.447605	-0.061437365	0.47662824	0.0062645227	0.0575	79.0	6798.905004024506
35	2.612023	0.0	47.0	0.0	0.24479167	17.3159	9.782363	31.390265	-3.9039886	2.259011	0.9819581	5.043336	0.9083995	20.625	13.157471	4.8097987	23.117338	-6.5268483	144000	-7.450581e-09	20.420183	0.23625186	-0.006061187	-3.6652207	-0.040768534	0.46603766	0.0044460837	0.043750003	79.0	6985.844910860062
36	2.6532845	0.0	54.0	0.0	0.2783505	16.430307	9.337332	31.899921	-4.042466	2.3438442	1.0602447	5.4066625	0.91605383	20.48969	13.283279	5.2469907	22.148	-5.4354687	148000	5.5879354e-09	25.283905	0.3372849	-0.0069874926	-4.4249115	-0.036921535	0.47460723	0.005412137	0.06275	79.0	7171.446225643158
37	2.6945305	0.0	48.0	0.0	0.24870466	16.571728	9.617421	28.327045	-4.3749523	2.2568893	0.96435	5.003453	0.66752607	20.466322	12.3706	5.01559	21.131521	-4.8144455	152000	7.450581e-09	25.286999	0.2781427	-0.0072769364	-5.4608927	-0.055938084	0.4528277	0.005581229	0.041500002	79.0	7355.603420495987
38	2.7357407	0.0	53.0	0.0	0.26767677	16.517855	9.959968	31.204853	-4.4835677	2.2347336	0.97465706	4.7012844	0.6677599	19.90909	12.721302	5.019176	21.181684	-5.402966	156000	-1.8626451e-09	22.919617	0.25679988	-0.007997481	-4.2581615	-0.05063932	0.47845003	0.0069815726	0.0475	79.0	7544.450164556503
39	2.777013	0.0	47.0	0.0	0.24479167	16.934328	9.192795	29.904934	-4.9522552	2.2874715	0.980673	5.145151	0.9110559	20.583334	13.3806	5.153157	21.718388	-5.8665824	160000	1.8626451e-09	22.79398	0.2589755	-0.0076155155	-3.236791	-0.041438807	0.47896093	0.002348905	0.039750002	79.0	7737.7156364917755
40	2.8183968	0.0	55.0	0.0	0.2763819	16.107174	9.671133	30.23241	-3.3534305	2.3155124	0.96215165	4.850554	0.91999364	19.929647	12.4967165	5.152571	20.687317	-8.522665	164000	-1.4901161e-08	25.485613	0.2752176	-0.0076179076	-3.7707696	-0.05880108	0.47467363	0.011321176	0.086	79.0	7920.522999286652
41	2.8598564	0.0	52.0	0.0	0.26530612	16.348648	9.064376	29.746119	-1.7243102	2.2928958	1.024566	5.2033978	0.8965502	20.295918	12.574791	4.9937253	20.785168	-6.3919606	168000	4.656613e-09	19.445599	0.23713031	-0.007071799	-3.6660006	-0.036938842	0.4812594	0.0051096026	0.0455	79.0	8117.618084192276
42	2.901405	0.0	52.0	0.0	0.26262626	16.699797	9.814123	29.095644	-5.8483357	2.2993436	1.0200353	5.1562376	0.90910137	19.974747	12.720312	5.0231185	23.629482	-5.951402	172000	0.0	21.831812	0.28584898	-0.0068415585	-4.6263905	-0.061555587	0.47454393	0.0062022503	0.04225	79.0	8304.316148519516
43	2.9428895	0.0	41.0	0.0	0.21925133	17.552654	9.557135	28.652771	-2.871104	2.2018547	0.9962378	6.2252474	0.9236627	21.112299	13.612779	5.323611	21.804722	-5.816136	176000	-7.450581e-09	17.13667	0.23621097	-0.0075142803	-3.9340322	-0.049890064	0.4705057	0.005708928	0.044	79.0	8493.867290258408
44	2.9842713	0.0	31.0	0.0	0.1693989	18.389418	8.134004	28.901152	-3.345617	2.1673026	0.9642604	6.201758	0.9091659	21.557377	13.557697	4.68873	21.401072	-5.400476	180000	1.3038516e-08	17.169739	0.21631256	-0.006870027	-3.8927557	-0.036905542	0.45309353	0.007889453	0.0425	79.0	8680.35637331009
45	3.0257676	0.0	46.0	0.0	0.24338624	17.24333	9.484831	31.045359	-3.603393	2.2880511	0.95969814	4.868824	0.9314743	20.820107	13.268719	5.1159983	21.959866	-5.1631565	184000	4.656613e-09	19.896584	0.24161838	-0.007635736	-4.417394	-0.071752995	0.4251895	0.0016980139	0.0455	79.0	8866.705653429031
46	3.0671723	0.0	32.0	0.0	0.17297298	18.817726	8.148622	29.109125	-2.798659	2.1622863	0.97332555	5.909412	0.6676366	21.448648	13.532666	4.957598	22.56762	-7.053624	188000	-1.8626451e-09	17.97836	0.22044006	-0.0066047898	-4.078486	-0.038689647	0.43290856	0.0073590046	0.0325	79.0	9057.409500598907
47	3.1087224	0.0	52.0	0.0	0.26943004	16.562742	9.744506	28.576849	-3.8423033	2.2945724	0.92691964	4.503882	0.6724839	20.595856	13.800251	5.3385086	23.08099	-6.4384956	192000	0.0	17.77835	0.19878635	-0.0063776616	-4.5710773	-0.038952097	0.46604562	0.0058126254	0.041500002	79.0	9248.672898054123
