Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
39	2.8755906	0.0	37.0	0.0	0.2044199	13.581756	9.760002	28.49279	-11.174685	2.302272	0.9365971	5.0689797	0.66693896	21.983425	11.170775	3.6988134	18.185013	-6.1698356	160000	-2.2190575e-08	25.41027	0.23735951	-0.015008228	0.42941797	0.0042832596	0.0	21921.70899796486
40	2.9151247	0.0	40.0	0.0	0.21505377	13.93949	9.720171	28.750967	-10.160095	2.3954291	1.0331205	6.7323866	0.7744507	21.462366	11.134347	4.096872	19.143972	-5.54696	164000	2.990259e-08	24.939026	0.23545256	-0.012995934	0.40691048	0.0043434137	0.0	22451.578462839127
41	2.9546034	0.0	41.0	0.0	0.22651933	13.516213	9.976767	29.221195	-10.750402	2.33472	1.0021929	5.6589584	0.6675713	22.0	11.592124	3.8634672	18.226574	-3.6422362	168000	6.3343273e-09	28.013357	0.23814279	-0.013151688	0.3808714	0.00538684	0.0	22985.20591545105
42	2.9940946	0.0	50.0	0.0	0.2631579	12.770046	10.148001	27.346596	-11.632386	2.3673806	1.0051522	4.7816143	0.66700596	20.984211	11.11176	4.045365	18.250887	-5.9970627	172000	8.1334584e-10	29.521503	0.25868157	-0.010181268	0.34629172	0.002713433	0.0	23516.336999177933
43	3.0333135	0.0	41.0	0.0	0.21925133	14.701763	9.665208	27.745651	-10.1179495	2.1586754	0.97746783	5.355315	0.66770977	21.272728	11.383693	3.8001778	19.45589	-3.686955	176000	-1.4225548e-08	21.15076	0.2124786	-0.009349025	0.3128559	0.0064521027	0.0	24055.613174438477
44	3.0722294	0.0	28.0	0.0	0.1618497	14.542547	9.336177	28.297802	-9.485106	2.1085134	0.8089461	4.7472444	0.67200446	23.034681	12.193846	4.069476	19.617111	-3.9794607	180000	-5.7836544e-09	23.641817	0.17624159	-0.019441992	0.2917473	0.0070360326	0.0	24594.273876428604
45	3.1111376	0.0	44.0	0.0	0.23157895	13.757983	9.656457	29.080357	-10.714386	2.2794616	0.9774498	5.4198475	0.9117192	21.021053	11.404025	3.7450984	20.035366	-3.3565643	184000	1.3669408e-08	20.867826	0.22060458	-0.010506522	0.28413346	0.005205909	0.0	25126.686970710754
46	3.1499941	0.0	46.0	0.0	0.2408377	14.605397	9.60175	29.290977	-9.205597	2.238761	0.9927219	4.7231746	0.66764677	20.82199	12.022662	4.1351533	20.843445	-4.229903	188000	-1.2421589e-08	22.26493	0.23060267	-0.009044372	0.28120676	0.0056315805	0.0	25661.124712228775
47	3.188907	0.0	37.0	0.0	0.2044199	14.447848	9.776039	29.581476	-8.55601	2.2977533	0.93700325	4.7392597	0.7296054	22.082872	12.132201	4.296661	20.501595	-6.202048	192000	-1.169449e-08	23.077497	0.20369044	-0.011281644	0.28811893	0.0035558457	0.0	26204.92610526085
48	3.2278812	0.0	36.0	0.0	0.19889502	15.020537	9.855236	29.964872	-13.224354	2.2950366	0.98881984	5.6009393	0.66690737	22.060774	11.966568	4.2596803	19.510942	-5.858775	196000	7.712487e-09	21.231192	0.2197899	-0.012027729	0.29926226	0.0035543547	0.0	26746.840230464935
49	3.2666595	0.0	26.0	0.0	0.1452514	15.566649	9.367389	28.547594	-8.382816	2.11925	0.84378594	4.2760615	0.6675854	22.324022	12.167015	4.2553296	19.551186	-7.640283	200000	5.563012e-10	16.70327	0.1651874	-0.024075832	0.27189067	0.0072285985	0.0	27274.62192082405
50	3.3055103	0.0	25.0	0.0	0.14367816	15.61613	8.6561985	28.29202	-9.585135	2.2731042	0.9636818	4.680584	0.6675552	22.948277	12.747976	4.247068	20.511288	-6.101401	204000	9.609387e-09	17.281443	0.16897967	-0.015305598	0.2786561	0.0031794084	0.0	27810.99107813835
51	3.344291	0.0	24.0	0.0	0.14117648	13.807674	9.5304365	29.773169	-12.094044	2.1759238	0.89746624	4.379445	0.9106815	23.529411	11.9855795	3.5863423	20.786215	-3.9910629	208000	-1.9073487e-09	23.031792	0.2137032	-0.012663716	0.24137668	0.004859857	0.0	28334.94578933716
52	3.3830776	0.0	28.0	0.0	0.1590909	15.186609	9.843005	29.408749	-14.479683	2.2112331	0.82488465	4.356058	0.56092966	22.602272	12.19227	3.4761066	19.714481	-4.8631845	212000	-3.2915979e-09	19.237644	0.1542541	-0.014171812	0.23758852	0.0037409987	0.0	28860.454243421555
53	3.4217143	0.0	26.0	0.0	0.14942528	15.513002	9.426298	29.137432	-10.849518	2.1034794	0.79120356	4.119057	0.66637987	22.856321	12.58313	4.292463	21.02319	-4.3937764	216000	1.0002136e-08	19.158617	0.14740923	-0.009971873	0.23213485	0.0027535586	0.0	29393.908399105072
54	3.4601328	0.0	16.0	0.0	0.09411765	16.659798	8.549595	30.835644	-10.988231	2.042478	0.7641071	4.4456463	0.9087523	23.529411	12.861126	3.9590394	20.074697	-5.2340145	220000	1.6104142e-09	14.06265	0.10593454	-0.013487942	0.21065536	0.0075299134	0.0	29929.363721370697
55	3.4984295	0.0	20.0	0.0	0.11904762	14.058345	9.35449	28.489012	-11.987189	2.0813594	0.9094695	4.6405063	0.6675315	23.755953	12.4697075	4.146341	20.458641	-5.577883	224000	-8.9612895e-10	20.267914	0.18475848	-0.010998515	0.19716354	0.0021494788	0.0	30465.66752266884
56	3.53642	0.0	10.0	0.0	0.06097561	16.134897	8.504631	28.604427	-9.53086	1.9516386	0.70955974	4.3961096	0.6674805	24.304878	12.3528805	3.506676	20.340382	-4.0937495	228000	-4.2362718e-09	19.762032	0.12032599	-0.014536653	0.18081406	0.007604125	0.0	31002.887050151825
57	3.5742106	0.0	14.0	0.0	0.08139535	16.66605	8.729035	29.078644	-11.913448	1.9903096	0.7848001	5.5821	0.66770023	23.13372	13.066641	3.3759997	20.780407	-2.6704583	232000	1.8458664e-08	14.386615	0.146544	-0.016769566	0.17613684	0.006730061	0.0	31536.851974248886
58	3.611742	0.0	9.0	0.0	0.054545455	16.189577	8.448796	28.861395	-13.624921	1.9348211	0.7606439	4.6060333	0.66760635	24.121212	12.884557	3.7150204	22.336874	-6.0876813	236000	3.9917616e-09	15.891991	0.11266436	-0.008054165	0.16531578	0.00510731	0.0	32079.4519033432
59	3.6490314	0.0	15.0	0.0	0.08982036	14.908477	8.912956	31.812872	-9.198383	1.922332	0.71514547	4.0629063	0.66653687	23.916168	12.66099	3.4822998	20.461868	-4.2630553	240000	1.7450082e-08	17.274086	0.1265203	-0.010901604	0.17156066	0.0053592366	0.0	32617.97480583191
60	3.6862385	0.0	11.0	0.0	0.06748466	16.528574	8.407818	32.475285	-8.9193125	1.9960554	0.77854604	4.431925	0.9313888	24.521473	12.546961	3.5746224	22.485062	-4.227163	244000	-1.3471798e-08	11.338123	0.11979063	-0.013780871	0.15365294	0.006834876	0.0	33142.84678173065
61	3.7232337	0.0	14.0	0.0	0.083333336	16.028349	8.638521	28.312658	-9.936141	1.9067369	0.72695696	4.0418	0.6669211	23.714285	13.097803	3.9674253	21.838577	-4.211146	248000	2.055939e-08	16.519665	0.124166116	-0.0153499255	0.16025156	0.007927906	0.0	33680.36932396889
62	3.760263	0.0	13.0	0.0	0.07647059	16.211374	8.623263	29.162867	-8.041169	2.0324893	0.76929677	4.380774	0.66760236	23.52353	12.984363	3.6561227	21.748503	-3.3714366	252000	5.4648357e-09	15.060108	0.12328053	-0.014567068	0.15075032	0.006434415	0.0	34206.7918009758
63	3.7973394	0.0	14.0	0.0	0.08235294	16.618423	8.7614155	30.261017	-6.220479	2.0349233	0.7605888	4.258677	0.9129421	23.494118	12.86909	3.9353418	22.841112	-4.53214	256000	1.23901405e-08	13.096154	0.11486655	-0.015463328	0.15305538	0.009157676	0.0	34738.57505130768
64	3.8343928	0.0	21.0	0.0	0.12352941	14.930753	9.970187	27.804438	-15.174868	1.9890697	0.84293634	4.329058	0.90836215	23.388235	12.932681	4.4489603	22.41575	-5.0395155	260000	1.718891e-08	21.342543	0.16825756	-0.016967822	0.15014194	0.007173978	0.0	35281.504986047745
65	3.8713534	0.0	12.0	0.0	0.07058824	15.858833	8.90999	29.51443	-10.92173	1.9402484	0.7826436	5.477706	0.69779855	23.370588	12.255705	4.0675097	21.918755	-6.1419506	264000	1.3322193e-08	15.949666	0.15163183	-0.013020311	0.1406442	0.0059376266	0.0	35811.976858615875
66	3.9083085	0.0	14.0	0.0	0.083333336	15.179041	8.364637	28.752764	-13.202997	1.9784063	0.7902271	4.4220533	0.6667368	23.779762	12.578316	3.7673213	21.954533	-4.552626	268000	1.510815e-08	12.137379	0.109519936	-0.008338871	0.15647788	0.0036972356	0.0	36342.67252039909
