Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
36	0.0	0.029446712	0.14366157	14.400012	14.398991	-14.505307	-18.134418	1.9149556	1.9010869	19.893839	4.050026	29.546682	8.568477	1.7629983	0.5975524	3.6305003	0.6702615	23.232557	25000	144000.0	8315.785744667053
37	0.017441861	0.026645694	0.14355181	14.505673	14.506646	-14.592651	-18.648317	1.7906578	1.7768317	20.629591	4.5424275	27.928577	-3.8014007	1.873338	0.82389426	6.1401324	0.9025967	23.226744	25000	148000.0	8539.43489074707
38	0.0	0.024106557	0.15222652	14.608173	14.608221	-14.689299	-19.195066	1.7315769	1.7177483	20.571297	3.9495342	27.629208	3.3174055	1.8657321	0.7110142	6.1660056	0.9025156	22.954287	25000	152000.0	8761.946161746979
39	0.0	0.021815727	0.13851155	14.719037	14.719902	-14.798717	-19.65764	1.5994673	1.5804259	20.931856	3.8713653	30.028673	0.04150893	1.8512725	0.61657864	4.907503	0.6677865	23.005781	25000	156000.0	8986.177928686142
40	0.0057471264	0.019740414	0.13662149	14.828802	14.829017	-14.890862	-20.163593	1.4847925	1.4659877	20.761456	3.8233006	28.62141	0.9629958	1.874351	0.7198016	5.6243267	0.9040297	23.068966	25000	160000.0	9208.881511688232
41	0.0057803467	0.017865079	0.12347586	14.934947	14.935888	-14.995617	-20.623632	1.398497	1.3838269	21.174417	3.5838554	27.83511	1.9043245	1.9079983	0.6017289	4.120978	0.9127041	23.080925	25000	164000.0	9431.419503450394
42	0.0057471264	0.016166156	0.1309067	15.032834	15.032523	-15.078688	-21.166304	1.328514	1.314289	21.136106	4.1731567	30.61934	0.46650156	1.8728575	0.6481652	4.081101	0.9235429	23.005747	25000	168000.0	9647.98829627037
43	0.0057471264	0.014628142	0.12210446	15.100115	15.100353	-15.142272	-21.641932	1.2344097	1.2200872	21.352375	3.6095986	29.226622	2.7864332	1.8970519	0.6538554	4.5590205	0.92247576	22.91954	25000	172000.0	9870.904596567154
44	0.0057471264	0.013236326	0.12798513	15.1612015	15.161201	-15.198006	-22.17931	1.1626871	1.153407	21.445353	3.9862707	31.448822	-0.6473735	1.883326	0.74477446	6.1976156	0.92231655	22.93678	25000	176000.0	10094.748207569122
45	0.0056818184	0.011978756	0.109204926	15.244662	15.246059	-15.274807	-22.608414	1.0964563	1.0823495	21.109468	3.6578941	28.716719	3.4746788	1.8209866	0.67574114	5.5290184	0.90908986	22.90909	25000	180000.0	10315.43562912941
46	0.0	0.010840918	0.10099591	15.341719	15.342418	-15.362901	-23.081135	1.0367656	1.0246468	21.1503	3.7917817	28.248146	-2.9365718	1.8309228	0.56508553	3.3233538	0.93121654	22.39326	25000	184000.0	10534.611446380615
47	0.011363637	0.009810539	0.10041125	15.394462	15.394295	-15.41154	-23.587791	0.97725135	0.9666537	21.542248	3.9790463	28.961927	1.8478911	2.009759	0.821152	6.3274336	0.9176399	22.738636	25000	188000.0	10755.473011255264
48	0.017045455	0.008877343	0.10541887	15.461653	15.461704	-15.472588	-24.12144	0.9419669	0.9294715	21.301422	4.343691	29.067482	-2.7973838	1.920903	0.71961236	5.180002	0.9115123	22.755682	25000	192000.0	10980.644533872604
49	0.03954802	0.008032572	0.101872146	15.539803	15.538971	-15.54511	-24.614805	0.9234567	0.91075176	20.92116	4.7094254	29.102177	0.21800698	2.05032	0.76301223	4.549175	0.9003606	22.58757	25000	196000.0	11202.443763971329
50	0.016949153	0.0072683915	0.099267624	15.598674	15.597874	-15.597407	-25.111923	0.8687975	0.8569047	21.404305	4.0293193	30.876184	2.1909716	2.0198202	0.76815933	5.0212884	0.91869545	22.58757	25000	200000.0	11424.928777694702
51	0.02247191	0.0065773204	0.09455707	15.639267	15.638913	-15.632216	-25.597858	0.8479876	0.8356482	21.348	4.1084723	29.395174	1.1069921	2.0106895	0.84092665	6.2841086	0.92171115	22.466291	25000	204000.0	11648.689811706543
52	0.022727273	0.005951815	0.08933482	15.704715	15.70483	-15.690793	-26.080122	0.81549805	0.80300343	21.884306	4.1721616	29.594954	0.6120992	2.004796	0.7222497	4.7004766	0.66795003	22.5625	25000	208000.0	11871.206839561462
