Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
46	0.0054644807	14.437824	13.011709	0.659199	19.834284	4.3744106	30.008621	1.2613178	1.9691526	0.6690107	6.6943192	0.9111609	21.857924	184000.0	16220.435906410217
47	0.0	14.427562	12.995596	0.6637788	20.82752	4.0001254	28.780003	7.2906933	1.8930277	0.59165007	3.458808	0.915497	22.005526	188000.0	16570.598206281662
48	0.0054945056	14.421877	12.98901	0.6431858	21.048784	3.6402752	28.536129	5.110856	1.8627588	0.6427187	5.5926733	0.90977794	22.04945	192000.0	16918.062408924103
49	0.0	14.416181	12.982215	0.639364	20.238775	4.1515794	29.418047	-1.8657231	1.8495953	0.5569481	3.7736914	0.90859884	21.961538	196000.0	17264.402502536774
50	0.0054945056	14.439701	13.008843	0.6291547	20.521374	4.102399	28.944197	-4.36025	1.9488357	0.650606	4.033502	0.9218497	21.978022	200000.0	17614.80711722374
51	0.0054347827	14.483733	13.05965	0.58393264	20.259075	4.362788	29.963476	-1.5337514	1.9090987	0.61590254	4.8668227	0.9166101	21.831522	204000.0	17961.939300060272
52	0.011049724	14.5479355	13.1292515	0.5454563	20.600767	3.7279325	27.744854	4.8157496	1.9424446	0.773044	6.1683636	0.91222715	22.121548	208000.0	18316.167506933212
53	0.0	14.674818	13.253612	0.5153272	20.93106	3.026029	27.736622	11.360517	1.9457568	0.5974825	3.7232947	0.9181331	22.457626	212000.0	18676.232097148895
54	0.016666668	14.9234495	13.50106	0.50983644	20.882908	4.3797965	28.875574	-5.393869	1.9618499	0.63795006	4.773904	0.9140509	22.233334	216000.0	19036.321823358536
55	0.016759777	15.111597	13.688238	0.5104112	21.098574	3.7550557	28.420523	5.155134	1.911617	0.71249473	5.813737	0.9221894	22.351955	220000.0	19395.270840644836
56	0.011173184	15.2087145	13.7927885	0.49323756	20.652063	3.8412108	27.756279	-0.9449333	1.9871219	0.7092169	4.9771004	0.89624006	22.335196	224000.0	19754.045047283173
57	0.005586592	15.246871	13.838588	0.4865164	20.859735	3.366826	29.907204	4.1327214	1.9151107	0.66792405	5.687738	0.91988957	22.363129	228000.0	20111.269934892654
58	0.0	15.257551	13.847858	0.46099326	21.523926	3.163955	31.082611	11.929662	1.8676353	0.59818494	4.2529607	0.90999544	22.244444	232000.0	20466.6958425045
59	0.0	15.28267	13.869733	0.45118365	20.869532	3.455053	28.09166	11.842463	1.906832	0.61192036	3.5949488	0.6712743	22.322222	236000.0	20823.386142253876
60	0.016853932	15.302299	13.883884	0.43208805	21.112875	4.10755	28.617933	-4.2149715	1.9572526	0.7089364	5.599557	0.8988635	22.342697	240000.0	21177.52227306366
61	0.011049724	15.30693	13.886653	0.419081	21.087088	3.7163486	29.092682	2.183824	1.9301916	0.6381916	4.2389526	0.90855217	22.21547	244000.0	21529.9177775383
62	0.016853932	15.318164	13.904877	0.41095072	21.361885	3.3863842	28.70977	3.3594656	2.0005429	0.69424963	4.631144	0.6743841	22.308989	248000.0	21886.72379231453
63	0.016759777	15.296523	13.878943	0.4103626	21.02401	4.302983	27.777056	-0.029695323	2.0442543	0.6816246	5.1206236	0.6836034	22.474861	252000.0	22243.266518115997
64	0.011173184	15.296845	13.877795	0.41036445	21.299711	3.3013637	28.091217	5.8009024	1.9597512	0.65578717	4.3540177	0.9023501	22.273743	256000.0	22597.021451473236
65	0.006849315	15.3027725	13.890493	0.40826368	21.183725	3.501951	27.528526	4.864976	1.8962764	0.6198521	4.7528276	0.908461	22.458904	260000.0	22974.746477127075
66	0.005952381	15.262687	13.843862	0.395867	20.95874	5.1312532	28.46055	-26.941772	1.9275773	0.63948375	4.695853	0.5	28.202381	264000.0	23335.827408075333
67	0.011235955	15.248699	13.833754	0.39006624	21.098963	3.9034169	29.932272	-1.4075289	1.8838222	0.6341576	3.936231	0.6841339	22.404495	268000.0	23689.402637004852
68	0.016759777	15.238022	13.82509	0.39938146	21.25388	4.0737195	28.974762	-2.6402194	1.9479746	0.6627729	4.688924	0.92831135	22.363129	272000.0	24044.71072244644
69	0.005586592	15.234959	13.826098	0.3928699	21.392996	3.8842022	30.553875	-3.5549276	1.9184785	0.6329862	5.5045195	0.9214158	22.329609	276000.0	24400.632719278336
70	0.016853932	15.238908	13.826076	0.39702985	20.957226	4.0613394	27.724268	-2.519054	1.9834379	0.72000456	4.9643154	0.92195725	22.550562	280000.0	24758.177063941956
71	0.016853932	15.240409	13.830574	0.3935939	21.294561	4.094919	32.973133	-1.4589524	1.9083678	0.70933115	4.8355665	0.9231359	22.39326	284000.0	25111.970536470413
72	0.011173184	15.242951	13.827804	0.3972504	21.386118	3.8402505	28.983349	1.7709392	1.9591272	0.6752953	5.0146413	0.91097194	22.374302	288000.0	25464.726794719696
73	0.016666668	15.228633	13.80485	0.3959024	20.854214	4.0336204	28.811644	-4.034097	1.9079787	0.66368675	4.6414757	0.8974442	22.15	292000.0	25821.78400182724
